COUNTY,STATE,POP1980,MIDDLE1980,HS1980,COLLEGE1980
Adams  ,Ohio,13622,4542,9080,1612
Allen  ,Ohio,63871,9069,54802,14058
Ashland  ,Ohio,26416,3532,22884,6240
Ashtabula  ,Ohio,60719,8882,51837,11260
Athens  ,Ohio,27675,4159,23516,8909
Auglaize  ,Ohio,24385,3566,20819,4607
Belmont  ,Ohio,50981,10642,40339,8308
Brown  ,Ohio,18064,4453,13611,2469
Butler  ,Ohio,142747,25498,117249,37785
Carroll  ,Ohio,14746,2415,12331,2146
Champaign  ,Ohio,19687,3260,16427,3453
Clark  ,Ohio,87839,13750,74089,19760
Clermont  ,Ohio,69648,12725,56923,15342
Clinton  ,Ohio,19776,3526,16250,4109
Columbiana  ,Ohio,67279,12106,55173,12602
Coshocton  ,Ohio,21488,3608,17880,3692
Crawford  ,Ohio,29467,4746,24721,5128
Cuyahoga  ,Ohio,925799,134657,791142,277004
Darke  ,Ohio,31652,5579,26073,4960
Defiance  ,Ohio,21614,3375,18239,4733
Delaware  ,Ohio,30218,3185,27033,9615
Erie  ,Ohio,46522,6479,40043,10839
Fairfield  ,Ohio,54372,7364,47008,12548
Fayette  ,Ohio,16281,3554,12727,2455
Franklin  ,Ohio,490385,56135,434250,181905
Fulton  ,Ohio,21074,3050,18024,4297
Gallia  ,Ohio,17474,4829,12645,3039
Geauga  ,Ohio,42324,4782,37542,15665
Greene  ,Ohio,72598,8045,64553,26050
Guernsey  ,Ohio,24999,4938,20061,4285
Hamilton  ,Ohio,511956,87605,424351,166913
Hancock  ,Ohio,37196,3755,33441,10745
Hardin  ,Ohio,17855,3034,14821,3455
Harrison  ,Ohio,10905,2200,8705,1379
Henry  ,Ohio,16233,3069,13164,2838
Highland  ,Ohio,19848,4536,15312,2878
Hocking  ,Ohio,14117,2411,11706,2111
Holmes  ,Ohio,14887,5719,9168,1853
Huron  ,Ohio,30525,4596,25929,5838
Jackson  ,Ohio,17815,4950,12865,2671
Jefferson  ,Ohio,56118,11133,44985,9764
Knox  ,Ohio,26710,4100,22610,5735
Lake  ,Ohio,124039,12242,111797,36454
Lawrence  ,Ohio,37086,8498,28588,5940
Licking  ,Ohio,69845,9388,60457,15831
Logan  ,Ohio,23295,3273,20022,4028
Lorain  ,Ohio,151868,21197,130671,36516
Lucas  ,Ohio,273410,42882,230528,79188
Madison  ,Ohio,19133,3566,15567,3391
Mahoning  ,Ohio,176240,27821,148419,41771
Marion  ,Ohio,39496,6225,33271,8012
Medina  ,Ohio,63395,5904,57491,18936
Meigs  ,Ohio,14006,3410,10596,1822
Mercer  ,Ohio,20782,3644,17138,3371
Miami  ,Ohio,53336,7994,45342,11844
Monroe  ,Ohio,10189,2421,7768,1318
Montgomery  ,Ohio,337699,48870,288829,105550
Morgan  ,Ohio,8364,1752,6612,1111
Morrow  ,Ohio,14896,2336,12560,2234
Muskingum  ,Ohio,47885,8652,39233,8683
Noble  ,Ohio,6577,1225,5352,849
Ottawa  ,Ohio,23996,3588,20408,5011
Paulding  ,Ohio,11514,1931,9583,1540
Perry  ,Ohio,17207,3332,13875,2278
Pickaway  ,Ohio,25277,5376,19901,4274
Pike  ,Ohio,13044,3938,9106,2245
Portage  ,Ohio,71301,8290,63011,19914
Preble  ,Ohio,22337,3733,18604,3706
Putnam  ,Ohio,17278,3112,14166,3119
Richland  ,Ohio,76431,12399,64032,16568
Ross  ,Ohio,38887,8291,30596,7115
Sandusky  ,Ohio,35617,5415,30202,7456
Scioto  ,Ohio,49803,13458,36345,8954
Seneca  ,Ohio,34483,5579,28904,7308
Shelby  ,Ohio,23720,3999,19721,4424
Stark  ,Ohio,225842,34291,191551,51119
Summit  ,Ohio,314078,41974,272104,93768
Trumbull  ,Ohio,143492,20147,123345,31319
Tuscarawas  ,Ohio,50696,9584,41112,8365
Union  ,Ohio,17081,2213,14868,3629
Van Wert  ,Ohio,18045,2589,15456,3363
Vinton  ,Ohio,6590,1848,4742,701
Warren  ,Ohio,55405,10730,44675,12614
Washington  ,Ohio,37092,5719,31373,8517
Wayne  ,Ohio,54147,9482,44665,12933
Williams  ,Ohio,20884,2932,17952,4076
Wood  ,Ohio,54849,5717,49132,17811
Wyandot  ,Ohio,13143,2088,11055,2292
