COUNTY,POP1990,MIDDLE1990,HS1990,COLLEGE1990,BACHELOR1990,GRADUATE1990,MIDDLE1990,HS1990,COLLEGE1990,BACHELOR1990,GRADUATE1990
Autauga ,20861,6252,14609,7938,3026,962,0.299698001,0.700301999,0.380518671,0.145055366,0.04611476
Baldwin ,64623,17309,47314,26770,10870,3791,0.267845813,0.732154187,0.414248797,0.168206366,0.058663324
Barbour ,15702,6965,8737,4479,1857,627,0.443574067,0.556425933,0.285250287,0.118265189,0.039931219
Bibb ,10065,4850,5215,1808,476,223,0.481867859,0.518132141,0.179632389,0.047292598,0.022155986
Blount ,25241,9960,15281,6518,1773,621,0.394596094,0.605403906,0.258230656,0.070242859,0.024602829
Bullock ,6727,3428,3299,1630,676,260,0.509588227,0.490411773,0.242307121,0.10049056,0.038650216
Butler ,13490,6374,7116,3189,1083,414,0.472498147,0.527501853,0.236397331,0.08028169,0.0306894
Calhoun ,72445,23633,48812,27101,10266,3682,0.326219891,0.673780109,0.374090689,0.141707502,0.050824764
Chambers ,23681,10833,12848,6099,2101,719,0.457455344,0.542544656,0.257548245,0.088720916,0.030361894
Cherokee ,12954,6030,6924,2832,866,373,0.465493284,0.534506716,0.218619731,0.066851938,0.028794195
Chilton ,20781,9023,11758,4988,1550,686,0.434194697,0.565805303,0.240026948,0.074587363,0.033010923
Choctaw ,9806,4482,5324,2254,836,324,0.457067102,0.542932898,0.22985927,0.085253926,0.033040995
Clarke ,16285,6471,9814,4369,1755,639,0.397359533,0.602640467,0.268283697,0.107767885,0.039238563
Clay ,8659,3999,4660,1968,628,276,0.46183162,0.53816838,0.227277977,0.072525696,0.03187435
Cleburne ,8101,4068,4033,1639,529,258,0.502160227,0.497839773,0.202320701,0.06530058,0.03184792
Coffee ,25974,8522,17452,10628,4274,1505,0.328097328,0.671902672,0.409178409,0.164549165,0.057942558
Colbert ,34311,11952,22359,11249,3956,1375,0.348343097,0.651656903,0.327854041,0.115298301,0.040074612
Conecuh ,8962,4242,4720,1793,574,202,0.473331846,0.526668154,0.200066949,0.064048204,0.022539612
Coosa ,7184,3315,3869,1466,456,181,0.461442094,0.538557906,0.204064588,0.063474388,0.025194878
Covington ,24090,10288,13802,6840,2198,738,0.427065172,0.572934828,0.283935243,0.091241179,0.030635118
Crenshaw ,8797,4286,4511,2067,740,209,0.487211549,0.512788451,0.234966466,0.084119586,0.023758099
Cullman ,43909,18093,25816,12287,3405,1307,0.412056754,0.587943246,0.279828737,0.077546744,0.029766107
Dale ,29258,7536,21722,13523,3948,1194,0.257570579,0.742429421,0.462198373,0.134937453,0.040809351
Dallas ,28420,11488,16932,8922,3474,1289,0.404222379,0.595777621,0.313933849,0.122237861,0.045355384
DeKalb ,35484,16665,18819,8049,2520,1064,0.469648292,0.530351708,0.22683463,0.071017924,0.029985346
Elmore ,31432,10518,20914,10726,4031,1543,0.334627132,0.665372868,0.341244591,0.128245101,0.049090099
Escambia ,22527,9037,13490,5649,1707,643,0.401163049,0.598836951,0.250765748,0.075775736,0.028543526
Etowah ,65672,23588,42084,21890,6689,2613,0.35917895,0.64082105,0.333323182,0.101854672,0.039788647
Fayette ,11672,5060,6612,2912,995,344,0.433516107,0.566483893,0.249485949,0.085246744,0.029472241
Franklin ,18292,8212,10080,4440,1269,498,0.448939427,0.551060573,0.242729062,0.06937459,0.027225016
Geneva ,15475,6896,8579,3655,1058,366,0.445621971,0.554378029,0.236187399,0.068368336,0.02365105
Greene ,5917,2734,3183,1456,618,216,0.462058476,0.537941524,0.246070644,0.10444482,0.036504986
Hale ,9244,4218,5026,2164,822,318,0.456295976,0.543704024,0.234097793,0.088922544,0.034400692
Henry ,9932,4121,5811,2940,817,286,0.414921466,0.585078534,0.296012888,0.082259364,0.028795812
Houston ,51154,16226,34928,19902,7696,2494,0.317199046,0.682800954,0.389060484,0.150447668,0.048754741
Jackson ,30847,12932,17915,8039,2471,1044,0.419230395,0.580769605,0.260608811,0.080105035,0.033844458
Jefferson ,425708,111325,314383,193990,84718,29164,0.261505539,0.738494461,0.455687936,0.199004952,0.068507052
