COUNTY,Less Than High School,High School Graduate or more (includes equivalency),Some college or more,Bachelor's degree or more,Master's degree or more,Professional school degree or more,Doctorate degree,% Less Than High School,% High School Graduate or more (includes equivalency),% Some college or more,% Bachelor's degree or more,% Master's degree or more,% Professional school degree or more,% Doctorate degree
,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education
Adams  ,5574,12201,4302,1286,500,59,2,31.36,68.64,24.2,7.23,2.81,0.33,0.01
Allen  ,12190,57479,27813,9360,3469,1224,299,17.5,82.5,39.92,13.43,4.98,1.76,0.43
Ashland  ,5553,27786,12113,5302,1776,543,218,16.66,83.34,36.33,15.9,5.33,1.63,0.65
Ashtabula  ,13659,54335,23178,7517,2452,825,161,20.09,79.91,34.09,11.06,3.61,1.21,0.24
Athens  ,5384,26179,15389,8113,4143,1628,1184,17.06,82.94,48.76,25.7,13.13,5.16,3.75
Auglaize  ,4311,25782,11465,4047,1389,371,85,14.33,85.67,38.1,13.45,4.62,1.23,0.28
Belmont  ,9497,40119,17135,5523,2010,648,79,19.14,80.86,34.54,11.13,4.05,1.31,0.16
Brown  ,6860,20349,8025,2403,901,206,54,25.21,74.79,29.49,8.83,3.31,0.76,0.2
Butler  ,34702,172511,102930,48659,16714,4834,2272,16.75,83.25,49.67,23.48,8.07,2.33,1.1
Carroll  ,3874,15586,5264,1775,577,179,18,19.91,80.09,27.05,9.12,2.97,0.92,0.09
Champaign  ,4535,21109,8779,2709,901,238,50,17.68,82.32,34.23,10.56,3.51,0.93,0.19
Clark  ,17882,77416,39614,14178,5130,1416,452,18.76,81.24,41.57,14.88,5.38,1.49,0.47
Clermont  ,20377,93136,52997,23557,7710,2139,753,17.95,82.05,46.69,20.75,6.79,1.88,0.66
Clinton  ,4339,21381,10544,3627,1235,338,109,16.87,83.13,41,14.1,4.8,1.31,0.42
Columbiana  ,14770,61252,25038,8198,2540,839,161,19.43,80.57,32.94,10.78,3.34,1.1,0.21
Coshocton  ,5148,19024,6668,2366,833,348,61,21.3,78.7,27.59,9.79,3.45,1.44,0.25
Crawford  ,6216,25163,9664,3035,970,325,40,19.81,80.19,30.8,9.67,3.09,1.04,0.13
Cuyahoga  ,171962,764186,482922,235413,89433,33612,8609,18.37,81.63,51.59,25.15,9.55,3.59,0.92
Darke  ,6041,29165,11418,3548,1251,325,63,17.16,82.84,32.43,10.08,3.55,0.92,0.18
Defiance  ,3896,21530,9889,3624,1157,340,56,15.32,84.68,38.89,14.25,4.55,1.34,0.22
Delaware  ,5048,65569,47952,28978,9081,3080,1169,7.15,92.85,67.9,41.04,12.86,4.36,1.66
Erie  ,8699,45533,23306,9027,3051,1038,213,16.04,83.96,42.97,16.65,5.63,1.91,0.39
Fairfield  ,9911,70037,39342,16660,5153,1412,297,12.4,87.6,49.21,20.84,6.45,1.77,0.37
Fayette  ,4032,14922,5903,2037,566,130,31,21.27,78.73,31.14,10.75,2.99,0.69,0.16
Franklin  ,96422,579896,396609,215180,72127,25746,9385,14.26,85.74,58.64,31.82,10.66,3.81,1.39
Fulton  ,3965,22922,11084,3539,1022,299,47,14.75,85.25,41.22,13.16,3.8,1.11,0.17
Gallia  ,5306,14901,6477,2352,931,435,130,26.26,73.74,32.05,11.64,4.61,2.15,0.64
Geauga  ,8099,51117,34483,18795,6999,2143,554,13.68,86.32,58.23,31.74,11.82,3.62,0.94
Greene  ,11229,81185,54412,28737,12876,3273,1659,12.15,87.85,58.88,31.1,13.93,3.54,1.8
Guernsey  ,5786,21053,8653,2690,1056,396,121,21.56,78.44,32.24,10.02,3.93,1.48,0.45
Hamilton  ,94207,451841,300082,159212,58166,18991,6521,17.25,82.75,54.96,29.16,10.65,3.48,1.19
Hancock  ,5308,40563,21926,9932,3404,970,391,11.57,88.43,47.8,21.65,7.42,2.11,0.85
Hardin  ,3738,15482,5792,2192,847,290,119,19.45,80.55,30.14,11.4,4.41,1.51,0.62
Harrison  ,2266,8831,3322,1004,333,116,35,20.42,79.58,29.94,9.05,3,1.05,0.32
Henry  ,3103,15730,6328,2082,545,180,5,16.48,83.52,33.6,11.06,2.89,0.96,0.03
Highland  ,6238,20134,8312,2550,1030,312,83,23.65,76.35,31.52,9.67,3.91,1.18,0.31
Hocking  ,4119,14601,5951,1838,687,194,46,22,78,31.79,9.82,3.67,1.04,0.25
Holmes  ,10185,10831,4069,1736,508,200,32,48.46,51.54,19.36,8.26,2.42,0.95,0.15
Huron  ,7123,30453,12133,4102,1240,526,68,18.96,81.04,32.29,10.92,3.3,1.4,0.18
Jackson  ,5648,15658,6472,2339,834,219,59,26.51,73.49,30.38,10.98,3.91,1.03,0.28
