latitude,longitude,altitude,geometry,coordinates,name,1980MS,1980HS,1980College,1980IncomeUnder25K,1980Income25Kto50K,1980Income50Kto75K,1980IncomeOver75K,1980Catholic,1980EvangelicalProtestant,1980Jewish,1980MainlineProtestant,1980Orthodox,1980Other,1990MS,1990HS,1990College,1990Bachelors,1990Graduate,1990IncomeUnder25K,1990Income25Kto50K,1990Income50Kto100K,1990IncomeOver100K,1990Catholic,1990EvangelicalProtestant,1990Jewish,1990MainlineProtestant,1990Orthodox,1990Other,2000MS,2000HS,2000College,2000Bachelors,2000Masters,2000Professional,2000Doctorate,2000IncomeUnder25K,2000Income25Kto50K,2000Income50Kto100K,2000Income100Kto150K,2000Income150Kto200K,2000IncomeOver200K,2000Catholic,2000EvangelicalProtestant,2000Jewish,2000MainlineProtestant,2000Muslim,2000Orthodox,2000Other
,,,Polygon,"-83.383038,39.054115,-83.273499,39.015777,-83.273499,39.0103,-83.268022,38.61596,-83.645931,38.637868,-83.706177,38.637868,-83.673316,39.021254,-83.383038,39.054115",Adams,33.3431214,66.6568786,11.8337983,86.54,12.2,0.89,0.36,11.87,39.67,,48.46,,0,41.61,40.67,12.5,3.06,2.16,65.58,26.58,5.67,0.95,10.06,44.37,,45.58,,3.35,31.36,68.64,24.2,7.23,2.81,0.33,0.01,43.05,31.22,22.11,2.83,0.51,0.29,6.87,59.45,,33.68,,,4.19
,,,Polygon,"-83.881439,40.921752,-83.881439,40.81769,-83.881439,40.642428,-84.253871,40.686244,-84.396272,40.686244,-84.341502,40.861506,-83.881439,40.921752",Allen,14.1989322,85.8010678,22.0099889,71.75,25.34,2.03,0.88,39.6,15.35,0.42,44.63,,0.74,23.85,42.6,22.15,7.92,3.48,45.86,36.61,15.65,1.87,26.25,31.23,0.48,42.04,,1.05,17.5,82.5,39.92,13.43,4.98,1.76,0.43,32.7,32.42,28.19,4.91,0.64,1.13,42.02,25.36,0.31,31.39,0.83,0.09,0.96
,,,Polygon,"-82.375281,41.064153,-82.336942,41.064153,-82.172634,41.064153,-82.128818,40.992952,-82.128818,40.669813,-82.221926,40.565751,-82.336942,40.554797,-82.435527,40.992952,-82.375281,41.064153",Ashland,13.3706844,86.6293156,23.6220472,75.62,21.64,2.14,0.62,10.09,25.51,,64.4,,0.86,24,45.84,17.16,8.85,4.16,46.89,36.45,14.89,1.78,11.69,27.24,,61.08,,1.04,16.66,83.34,36.33,15.9,5.33,1.63,0.65,28.63,35.69,29.5,4.65,1.08,0.47,8.64,29.37,,54.2,,7.78,7.24
,,,Polygon,"-80.518598,41.978802,-80.518598,41.847355,-80.518598,41.502308,-81.000569,41.502308,-81.006046,41.715908,-81.000569,41.852832,-80.518598,41.978802,-80.518598,41.978802",Ashtabula,14.6280406,85.3719594,18.5444424,73.83,23.88,1.72,0.59,46.11,14.44,0.05,39.4,,0.64,27.62,45.34,18.08,6.07,2.88,51.46,35.25,12.05,1.23,43.12,19.12,,37.76,,0.66,20.09,79.91,34.09,11.06,3.61,1.21,0.24,33.58,34.24,27.28,3.65,0.56,0.7,45.34,20.5,0.12,34.03,,,0.99
,,,Polygon,"-82.046664,39.552517,-81.844017,39.448455,-81.723525,39.218424,-81.756386,39.180085,-82.271219,39.201993,-82.28765,39.382732,-82.16168,39.557994,-82.046664,39.552517",Athens,15.0280036,84.9719964,32.1915086,84.04,14.52,1.15,0.27,22.79,29.51,,47.7,,1.25,25.39,31.94,19.27,11.37,12.04,61.16,27.05,10.34,1.46,16.02,34.83,0.76,48.38,,2.18,17.06,82.94,48.76,25.7,13.13,5.16,3.75,46.51,28.34,19.33,4.04,0.76,1.02,14.38,42.2,0.74,41.21,1.47,,2.54
,,,Polygon,"-84.253871,40.686244,-83.881439,40.642428,-83.881439,40.538366,-84.001932,40.483597,-84.105994,40.483597,-84.43461,40.35215,-84.456518,40.686244,-84.396272,40.686244,-84.253871,40.686244",Auglaize,14.6237441,85.3762559,18.8927619,74.15,23.63,1.72,0.51,39.53,9.54,,50.93,,0,23.54,46.91,19.73,6.57,3.24,38.75,42.25,17.22,1.77,45.04,10.8,0.35,43.81,,0,14.33,85.67,38.1,13.45,4.62,1.23,0.28,24.1,34.83,33.24,5.4,1.16,1.27,42.14,15.61,,42.26,,,0.53
,,,Polygon,"-81.219646,40.171411,-80.885553,40.160457,-80.704814,40.15498,-80.732199,40.034488,-80.81983,39.848272,-81.236077,39.87018,-81.236077,39.952334,-81.225123,40.171411,-81.219646,40.171411",Belmont,20.8744434,79.1255566,16.2962672,74.38,23.58,1.75,0.29,33.53,14.91,,51.56,,0,27.66,45.54,17.78,5.8,3.23,57.75,31.22,10.13,0.9,34.59,16.99,0.37,47.75,0.3,1.15,19.14,80.86,34.54,11.13,4.05,1.31,0.16,42.7,31.5,22.11,2.28,0.49,0.91,32.57,19.32,,46.94,,1.16,2.62
,,,Polygon,"-83.990978,39.256762,-83.865008,39.245808,-83.673316,39.021254,-83.706177,38.637868,-83.848578,38.747407,-83.903347,38.769315,-84.051224,38.769315,-83.990978,39.256762",Brown,24.65124,75.34876,13.6680691,79.86,18.1,1.44,0.6,29.14,41.03,,29.84,,3.31,35.09,40.29,17.2,4.24,3.17,49.43,35.23,14.01,1.31,34.32,44.17,,21.51,,1.56,25.21,74.79,29.49,8.83,3.31,0.76,0.2,30.4,34.95,29.52,3.15,1.05,0.94,23.49,57.17,,19.34,,,2.25
,,,Polygon,"-84.478426,39.590856,-84.36341,39.590856,-84.352456,39.289624,-84.598918,39.306055,-84.817996,39.306055,-84.817996,39.519655,-84.812519,39.568948,-84.478426,39.590856",Butler,17.8623719,82.1376281,26.4699083,65.29,30.9,3.08,0.74,30.61,38.91,0.14,30.35,,0.88,24.03,34.67,22.58,11.96,6.76,37.65,35.42,23.64,3.28,33.26,40.68,0.77,25.29,,0.98,16.75,83.25,49.67,23.48,8.07,2.33,1.1,22.64,29.31,35.11,9.45,1.83,1.67,34.19,41.99,0.71,21.39,1.58,0.15,1.62
,,,Polygon,"-81.121061,40.730059,-81.0882,40.730059,-80.863645,40.598613,-80.940322,40.423351,-81.186785,40.434304,-81.268939,40.434304,-81.318231,40.653382,-81.121061,40.730059",Carroll,16.3773227,83.6226773,14.5530991,77.07,21.05,1.6,0.29,19.81,16.18,,64.02,,0,28.47,49.09,14.56,4.8,3.07,48.18,38.92,11.95,0.94,24.08,16.3,1.77,57.86,,2.22,19.91,80.09,27.05,9.12,2.97,0.92,0.09,34,35.57,26.17,2.8,0.69,0.78,21.75,17.97,,59.66,,0.62,0.63
