Households,"Households: Less than $5,000","Households: $5,000 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $32,499","Households: $32,500 to $34,999","Households: $35,000 to $37,499","Households: $37,500 to $39,999","Households: $40,000 to $42,499","Households: $42,500 to $44,999","Households: $45,000 to $47,499","Households: $47,500 to $49,999","Households: $50,000 to $54,999","Households: $55,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 or more","% Households: Less than $5,000","% Households: $5,000 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $32,499","% Households: $32,500 to $34,999","% Households: $35,000 to $37,499","% Households: $37,500 to $39,999","% Households: $40,000 to $42,499","% Households: $42,500 to $44,999","% Households: $45,000 to $47,499","% Households: $47,500 to $49,999","% Households: $50,000 to $54,999","% Households: $55,000 to $59,999","% Households: $60,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 to $124,999","% Households: $125,000 to $149,999","% Households: $150,000 or more"
9156,1354,1561,794,616,480,340,448,412,278,326,403,280,230,214,229,149,151,173,218,113,161,140,38,10,38,14.79,17.05,8.67,6.73,5.24,3.71,4.89,4.5,3.04,3.56,4.4,3.06,2.51,2.34,2.5,1.63,1.65,1.89,2.38,1.23,1.76,1.53,0.42,0.11,0.42
39303,2638,3869,2013,1805,1839,1885,2095,1882,1876,1534,1752,1509,1601,1207,1487,1303,1184,939,1710,1285,1961,1193,347,132,257,6.71,9.84,5.12,4.59,4.68,4.8,5.33,4.79,4.77,3.9,4.46,3.84,4.07,3.07,3.78,3.32,3.01,2.39,4.35,3.27,4.99,3.04,0.88,0.34,0.65
17158,866,1614,853,996,925,810,1104,878,799,711,816,551,726,605,739,457,457,393,835,557,801,361,133,58,113,5.05,9.41,4.97,5.8,5.39,4.72,6.43,5.12,4.66,4.14,4.76,3.21,4.23,3.53,4.31,2.66,2.66,2.29,4.87,3.25,4.67,2.1,0.78,0.34,0.66
36810,2780,4270,2174,1945,2293,1996,1938,1551,1768,1545,1782,1584,1467,1115,1196,881,982,657,1108,982,1627,716,204,63,186,7.55,11.6,5.91,5.28,6.23,5.42,5.26,4.21,4.8,4.2,4.84,4.3,3.99,3.03,3.25,2.39,2.67,1.78,3.01,2.67,4.42,1.95,0.55,0.17,0.51
20237,2847,3056,1430,1089,968,1091,1064,831,831,761,732,630,554,480,422,330,391,341,578,290,723,501,154,49,94,14.07,15.1,7.07,5.38,4.78,5.39,5.26,4.11,4.11,3.76,3.62,3.11,2.74,2.37,2.09,1.63,1.93,1.69,2.86,1.43,3.57,2.48,0.76,0.24,0.46
16060,576,1237,643,654,840,787,752,735,949,829,774,574,672,572,750,594,595,478,855,633,771,507,186,38,59,3.59,7.7,4,4.07,5.23,4.9,4.68,4.58,5.91,5.16,4.82,3.57,4.18,3.56,4.67,3.7,3.7,2.98,5.32,3.94,4.8,3.16,1.16,0.24,0.37
28136,2455,3956,1929,1695,1773,1614,1636,1190,1321,1033,1228,815,924,753,945,603,569,593,946,577,971,356,169,39,46,8.73,14.06,6.86,6.02,6.3,5.74,5.81,4.23,4.7,3.67,4.36,2.9,3.28,2.68,3.36,2.14,2.02,2.11,3.36,2.05,3.45,1.27,0.6,0.14,0.16
12407,864,1396,643,704,734,715,604,474,608,649,633,509,414,338,453,288,260,219,475,401,612,251,81,50,32,6.96,11.25,5.18,5.67,5.92,5.76,4.87,3.82,4.9,5.23,5.1,4.1,3.34,2.72,3.65,2.32,2.1,1.77,3.83,3.23,4.93,2.02,0.65,0.4,0.26
104195,5246,8722,4273,3584,4476,4422,4494,4018,4387,3857,4732,3755,3914,3420,4244,2990,2975,2638,5334,4216,9177,5895,1765,661,1000,5.03,8.37,4.1,3.44,4.3,4.24,4.31,3.86,4.21,3.7,4.54,3.6,3.76,3.28,4.07,2.87,2.86,2.53,5.12,4.05,8.81,5.66,1.69,0.63,0.96
9603,512,1073,561,522,561,424,600,374,554,374,576,455,454,358,331,180,266,189,312,221,445,170,36,29,26,5.33,11.17,5.84,5.44,5.84,4.42,6.25,3.89,5.77,3.89,6,4.74,4.73,3.73,3.45,1.87,2.77,1.97,3.25,2.3,4.63,1.77,0.37,0.3,0.27
