Area Name-Legal/Statistical Area Description,Qualifying Name,Households,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more","% Household Income: Less than $10,000","% Household Income: $10,000 to $14,999","% Household Income: $15,000 to $19,999","% Household Income: $20,000 to $24,999","% Household Income: $25,000 to $29,999","% Household Income: $30,000 to $34,999","% Household Income: $35,000 to $39,999","% Household Income: $40,000 to $44,999","% Household Income: $45,000 to $49,999","% Household Income: $50,000 to $59,999","% Household Income: $60,000 to $74,999","% Household Income: $75,000 to $99,999","% Household Income: $100,000 to $124,999","% Household Income: $125,000 to $149,999","% Household Income: $150,000 to $199,999","% Household Income: $200,000 or more"
Adams County,"Adams County, Ohio",10513,1645,1078,932,870,843,796,619,557,467,883,824,617,186,111,54,31,15.65,10.25,8.87,8.28,8.02,7.57,5.89,5.3,4.44,8.4,7.84,5.87,1.77,1.06,0.51,0.29
Allen County,"Allen County, Ohio",40625,4432,2996,2809,3051,3064,2824,2436,2617,2231,4096,3959,3396,1419,577,259,459,10.91,7.37,6.91,7.51,7.54,6.95,6,6.44,5.49,10.08,9.75,8.36,3.49,1.42,0.64,1.13
Ashland County,"Ashland County, Ohio",19489,1532,1248,1420,1380,1603,1442,1311,1389,1208,2019,2000,1730,660,246,210,91,7.86,6.4,7.29,7.08,8.23,7.4,6.73,7.13,6.2,10.36,10.26,8.88,3.39,1.26,1.08,0.47
Ashtabula County,"Ashtabula County, Ohio",39437,3780,3056,3156,3252,3251,2881,2385,2610,2375,3947,3731,3082,996,441,219,275,9.58,7.75,8,8.25,8.24,7.31,6.05,6.62,6.02,10.01,9.46,7.81,2.53,1.12,0.56,0.7
Athens County,"Athens County, Ohio",22500,4635,2290,1793,1747,1685,1472,1187,1164,869,1491,1466,1391,629,280,171,230,20.6,10.18,7.97,7.76,7.49,6.54,5.28,5.17,3.86,6.63,6.52,6.18,2.8,1.24,0.76,1.02
Auglaize County,"Auglaize County, Ohio",17441,926,1070,1025,1182,1127,1273,1306,1125,1244,1726,2143,1927,749,194,203,221,5.31,6.13,5.88,6.78,6.46,7.3,7.49,6.45,7.13,9.9,12.29,11.05,4.29,1.11,1.16,1.27
Belmont County,"Belmont County, Ohio",28363,3905,2860,2793,2553,2193,2099,1768,1648,1229,2313,2326,1633,482,164,140,257,13.77,10.08,9.85,9,7.73,7.4,6.23,5.81,4.33,8.15,8.2,5.76,1.7,0.58,0.49,0.91
Brown County,"Brown County, Ohio",15575,1458,913,1099,1265,1177,1217,970,1106,973,1670,1631,1297,333,157,163,146,9.36,5.86,7.06,8.12,7.56,7.81,6.23,7.1,6.25,10.72,10.47,8.33,2.14,1.01,1.05,0.94
Butler County,"Butler County, Ohio",123125,8468,6167,6395,6844,7104,7583,7785,7100,6508,11978,15303,15946,8149,3484,2253,2058,6.88,5.01,5.19,5.56,5.77,6.16,6.32,5.77,5.29,9.73,12.43,12.95,6.62,2.83,1.83,1.67
Carroll County,"Carroll County, Ohio",11161,1064,823,942,966,815,879,810,751,714,1092,1163,666,195,117,77,87,9.53,7.37,8.44,8.66,7.3,7.88,7.26,6.73,6.4,9.78,10.42,5.97,1.75,1.05,0.69,0.78
Champaign County,"Champaign County, Ohio",15010,989,1111,740,969,990,1090,947,960,857,1889,1813,1636,559,207,154,99,6.59,7.4,4.93,6.46,6.6,7.26,6.31,6.4,5.71,12.58,12.08,10.9,3.72,1.38,1.03,0.66
Clark County,"Clark County, Ohio",56720,4855,3584,3917,4148,3839,3995,3755,3599,3097,5649,6194,5622,2305,1034,575,552,8.56,6.32,6.91,7.31,6.77,7.04,6.62,6.35,5.46,9.96,10.92,9.91,4.06,1.82,1.01,0.97
Clermont County,"Clermont County, Ohio",65981,4140,3119,3127,3621,4018,4160,3879,3816,3543,6831,8400,8689,3953,1935,1477,1273,6.27,4.73,4.74,5.49,6.09,6.3,5.88,5.78,5.37,10.35,12.73,13.17,5.99,2.93,2.24,1.93
Clinton County,"Clinton County, Ohio",15397,1307,888,973,1064,1108,1136,1106,1010,888,1610,1780,1627,499,130,154,117,8.49,5.77,6.32,6.91,7.2,7.38,7.18,6.56,5.77,10.46,11.56,10.57,3.24,0.84,1,0.76
Columbiana County,"Columbiana County, Ohio",42968,4287,3563,3711,3868,3150,3397,3028,2598,2402,4042,3923,3133,909,417,254,286,9.98,8.29,8.64,9,7.33,7.91,7.05,6.05,5.59,9.41,9.13,7.29,2.12,0.97,0.59,0.67
Coshocton County,"Coshocton County, Ohio",14344,1355,1153,1147,1193,1298,1093,935,962,848,1376,1281,1089,384,61,100,69,9.45,8.04,8,8.32,9.05,7.62,6.52,6.71,5.91,9.59,8.93,7.59,2.68,0.43,0.7,0.48
Crawford County,"Crawford County, Ohio",18939,1882,1342,1440,1518,1497,1439,1314,1430,1101,1986,1684,1484,445,163,93,121,9.94,7.09,7.6,8.02,7.9,7.6,6.94,7.55,5.81,10.49,8.89,7.84,2.35,0.86,0.49,0.64
Cuyahoga County,"Cuyahoga County, Ohio",571606,64451,39196,38347,39784,38145,37228,33575,32153,27336,49169,55969,54848,25735,12301,10336,13033,11.28,6.86,6.71,6.96,6.67,6.51,5.87,5.63,4.78,8.6,9.79,9.6,4.5,2.15,1.81,2.28
Darke County,"Darke County, Ohio",20389,1489,1498,1485,1438,1471,1458,1528,1448,1247,2074,2236,1764,614,233,149,257,7.3,7.35,7.28,7.05,7.21,7.15,7.49,7.1,6.12,10.17,10.97,8.65,3.01,1.14,0.73,1.26
Defiance County,"Defiance County, Ohio",15113,886,829,829,955,1032,945,968,1123,1036,1572,2130,1770,600,211,107,120,5.86,5.49,5.49,6.32,6.83,6.25,6.41,7.43,6.86,10.4,14.09,11.71,3.97,1.4,0.71,0.79
Delaware County,"Delaware County, Ohio",39755,1220,1282,1292,1528,1567,1822,1771,1804,1720,3332,5008,6524,4165,2060,2141,2519,3.07,3.22,3.25,3.84,3.94,4.58,4.45,4.54,4.33,8.38,12.6,16.41,10.48,5.18,5.39,6.34
Erie County,"Erie County, Ohio",31756,2151,2150,1860,2516,2266,1983,1895,1817,1700,3232,3851,3459,1368,623,420,465,6.77,6.77,5.86,7.92,7.14,6.24,5.97,5.72,5.35,10.18,12.13,10.89,4.31,1.96,1.32,1.46
Fairfield County,"Fairfield County, Ohio",45431,2604,2142,2270,2806,2861,2902,2880,2725,2424,4681,5791,5502,3049,1244,865,685,5.73,4.71,5,6.18,6.3,6.39,6.34,6,5.34,10.3,12.75,12.11,6.71,2.74,1.9,1.51
Fayette County,"Fayette County, Ohio",11005,1017,798,713,694,1081,892,753,725,683,1159,1149,788,186,172,84,111,9.24,7.25,6.48,6.31,9.82,8.11,6.84,6.59,6.21,10.53,10.44,7.16,1.69,1.56,0.76,1.01
Franklin County,"Franklin County, Ohio",438876,39230,24511,24856,29018,29114,29715,27736,24518,21855,42793,48856,46042,22995,10179,8803,8655,8.94,5.58,5.66,6.61,6.63,6.77,6.32,5.59,4.98,9.75,11.13,10.49,5.24,2.32,2.01,1.97
Fulton County,"Fulton County, Ohio",15456,827,751,803,899,1238,1243,1045,1098,900,1779,2038,1757,608,210,131,129,5.35,4.86,5.2,5.82,8.01,8.04,6.76,7.1,5.82,11.51,13.19,11.37,3.93,1.36,0.85,0.83
Gallia County,"Gallia County, Ohio",12091,1688,1370,1017,1087,844,917,844,743,521,999,751,717,348,69,89,87,13.96,11.33,8.41,8.99,6.98,7.58,6.98,6.15,4.31,8.26,6.21,5.93,2.88,0.57,0.74,0.72
