FIPS,Name of County,1990 Catholic,1990 Evangelical Protestant,1990 Jewish,1990 Mainline Protestant,1990 Orthodox,1990 Other
39001,Adams County,10.06,44.37,,45.58,,3.35
39003,Allen County,26.25,31.23,0.48,42.04,,1.05
39005,Ashland County,11.69,27.24,,61.08,,1.04
39007,Ashtabula County,43.12,19.12,,37.76,,0.66
39009,Athens County,16.02,34.83,0.76,48.38,,2.18
39011,Auglaize County,45.04,10.8,0.35,43.81,,0
39013,Belmont County,34.59,16.99,0.37,47.75,0.3,1.15
39015,Brown County,34.32,44.17,,21.51,,1.56
39017,Butler County,33.26,40.68,0.77,25.29,,0.98
39019,Carroll County,24.08,16.3,1.77,57.86,,2.22
39021,Champaign County,17.76,21.56,,60.68,,4.64
39023,Clark County,22.84,35.91,2.07,39.18,,0
39025,Clermont County,40.03,38.38,4.07,17.52,,1.29
39027,Clinton County,15.68,35.08,,49.24,,1.15
39029,Columbiana County,25.04,23.92,0.41,50.63,,1.11
39031,Coshocton County,13.45,17.69,,68.86,,0
39033,Crawford County,19.37,19.08,,61.55,,0
39035,Cuyahoga County,57,21.94,5.33,15.68,0.05,0.45
39037,Darke County,30.26,26.78,,42.96,,0.72
39039,Defiance County,25.07,34.42,,40.52,,0
39041,Delaware County,15.64,20.11,4.28,59.97,,2.11
39043,Erie County,42.85,16.72,0.32,40.11,,0.11
39045,Fairfield County,18.82,22.66,3.35,55.17,,1.12
39047,Fayette County,10.33,23.46,,66.22,,0
39049,Franklin County,28.78,34.79,2.64,33.8,,1.13
39051,Fulton County,22.95,34.51,1.81,40.73,,0.15
39053,Gallia County,7.32,39.52,,53.16,,2.74
39055,Geauga County,44.23,28.14,6.58,21.04,,2.93
39057,Greene County,25.29,43.95,1.59,29.16,,1.89
39059,Guernsey County,19.74,27.47,,52.8,,1.52
39061,Hamilton County,51.65,26.36,2.64,19.35,,0.55
39063,Hancock County,19.25,23.41,,57.34,,1.04
39065,Hardin County,8.86,25.74,,65.4,,0
39067,Harrison County,8.22,18.29,,73.49,,1.69
39069,Henry County,13.67,36.63,,49.7,,0.64
39071,Highland County,10.93,47.43,,41.64,,0.57
39073,Hocking County,14.21,31.62,,54.17,,0
39075,Holmes County,2.24,83.82,,13.94,,0
39077,Huron County,40.33,18.65,,41.01,,1.34
39079,Jackson County,8.02,30.77,,61.21,,1
39081,Jefferson County,46.24,21.13,0.44,32.19,,0.42
39083,Knox County,11.41,41.74,,46.84,,0.88
39085,Lake County,65.96,12.09,6.16,15.8,,0.44
39087,Lawrence County,13.71,46.77,,39.52,,0
39089,Licking County,18.33,29.26,3.01,49.39,,1.97
39091,Logan County,13.77,34.99,,51.25,,1.42
39093,Lorain County,52.36,22.83,0.65,24.15,,0.59
39095,Lucas County,39.68,23.96,2.07,34.29,,0.56
39097,Madison County,13.9,35.82,2.94,47.34,,0
39099,Mahoning County,58.69,19.37,1.08,20.79,0.07,0.31
39101,Marion County,14.78,21.69,0.39,63.13,,0.74
39103,Medina County,47.61,14.29,6.92,31.18,,0.64
39105,Meigs County,5.43,43.32,,51.25,,0
39107,Mercer County,69.99,8.02,,21.99,,0
39109,Miami County,29.06,23.38,1.39,46.17,,1.21
39111,Monroe County,11.12,47.52,,41.35,,0
39113,Montgomery County,33.74,38.9,0.73,26.63,,1.17
39115,Morgan County,5.58,54.7,,39.73,,0
39117,Morrow County,4.16,27.41,,68.43,,0
39119,Muskingum County,23.21,21.13,0.32,55.34,,1
39121,Noble County,34.42,31.08,,34.5,,0
39123,Ottawa County,26.17,12.66,,61.17,,0
39125,Paulding County,26.32,28,,45.67,,0
39127,Perry County,31.16,13.24,,55.6,,0
39129,Pickaway County,8.24,32.2,4.31,55.25,,0
39131,Pike County,6.21,62.16,,31.63,,0
39133,Portage County,45.74,21.05,2.96,30.25,,1.13
39135,Preble County,12.37,44.19,,43.44,,0
39137,Putnam County,71.18,10.18,,18.65,,0
39139,Richland County,20.58,31.1,0.5,47.82,,1.13
39141,Ross County,11.77,33.11,,55.12,,0.91
39143,Sandusky County,37.38,11.08,,51.54,,0.52
39145,Scioto County,15.04,44.71,,40.25,,1.22
39147,Seneca County,46.52,8.49,,44.99,,0.47
39149,Shelby County,49.21,13.06,,37.73,,0
39151,Stark County,32.83,26.95,1.23,38.99,,0.4
39153,Summit County,37.01,34.71,1.76,26.5,0.02,0.63
39155,Trumbull County,49.23,18.72,1.56,30.36,0.13,0.44
39157,Tuscarawas County,17.17,26.4,,56.43,,0
39159,Union County,7.34,31.67,2.4,58.59,,0
39161,Van Wert County,49.76,13.83,,36.41,,0
39163,Vinton County,6.84,44.54,,48.62,,0
39165,Warren County,21.86,45.63,4.49,28.02,,1.08
39167,Washington County,19.97,27.4,,52.63,,0.86
39169,Wayne County,13.14,44.25,0.22,42.4,,0.53
39171,Williams County,18.28,31.17,,50.55,,0.89
39173,Wood County,24.58,19.1,2.73,53.58,,1.56
39175,Wyandot County,31.77,9.78,,58.45,,0
