FIPS,Name of Area,% Catholic Adherents,% Evangelical Protestant Adherents,% Jewish Adherents,% Mainline Protestant Adherents,% Muslim Adherents,% Orthodox Adherents,% Other Adherents
39001,Adams County,6.87,59.45,,33.68,,,4.19
39003,Allen County,42.02,25.36,0.31,31.39,0.83,0.09,0.96
39005,Ashland County,8.64,29.37,,54.2,,7.78,7.24
39007,Ashtabula County,45.34,20.5,0.12,34.03,,,0.99
39009,Athens County,14.38,42.2,0.74,41.21,1.47,,2.54
39011,Auglaize County,42.14,15.61,,42.26,,,0.53
39013,Belmont County,32.57,19.32,,46.94,,1.16,2.62
39015,Brown County,23.49,57.17,,19.34,,,2.25
39017,Butler County,34.19,41.99,0.71,21.39,1.58,0.15,1.62
39019,Carroll County,21.75,17.97,,59.66,,0.62,0.63
39021,Champaign County,12.38,24.18,,63.44,,,0.06
39023,Clark County,25.01,34.75,0.41,39.2,0.23,0.39,2.00
39025,Clermont County,46.98,35.93,,16.86,,0.24,0.98
39027,Clinton County,18.41,39.1,,42.48,,,1.67
39029,Columbiana County,29.59,24.4,0.11,45.9,,,1.75
39031,Coshocton County,11.19,25.83,,62.98,,,0.01
39033,Crawford County,29.67,21.81,,48.52,,,0.03
39035,Cuyahoga County,60.68,9.46,9.86,15.68,2.54,1.78,2.27
39037,Darke County,31.08,31.53,0.22,37.17,,,0.81
39039,Defiance County,36.04,32.27,,31.69,,,2.43
39041,Delaware County,53.24,11.21,,35.55,,,3.17
39043,Erie County,51.99,12.71,0.25,35.06,,,0.08
39045,Fairfield County,32.73,24.65,,42.62,,,2.66
39047,Fayette County,8.83,35.96,,55.21,,,0.01
39049,Franklin County,37,23.96,3.93,32.49,1.55,1.08,2.39
39051,Fulton County,32.96,35,,32.04,,,1.01
39053,Gallia County,5.28,52.14,,42.58,,,0.02
39055,Geauga County,60.39,18.14,,21.47,,,1.22
39057,Greene County,26.97,45.44,,26.36,1.23,,2.87
39059,Guernsey County,14.27,30,,55.4,,0.32,2.09
39061,Hamilton County,55.31,17.6,5.49,20.74,0.29,0.57,1.54
39063,Hancock County,26.42,22.94,,50.63,,,0.03
39065,Hardin County,13.74,29.63,,55.37,1.26,,0.00
39067,Harrison County,10.86,18.44,,70.7,,,0.00
39069,Henry County,18.57,36.58,,44.85,,,0.01
39071,Highland County,8.09,49.8,,42.11,,,0.73
39073,Hocking County,13.81,35.44,,50.75,,,0.00
39075,Holmes County,2.92,82.92,,14.16,,,0.00
39077,Huron County,51.8,16.24,,31.96,,,2.04
39079,Jackson County,3.08,57.89,,39.02,,,1.69
39081,Jefferson County,45.88,14.96,0.36,34.7,,4.09,4.96
39083,Knox County,14.76,49.04,,36.19,,,1.30
39085,Lake County,68.82,13.4,1.7,15.92,,0.16,1.07
39087,Lawrence County,13.78,54.4,,31.82,,,0.03
39089,Licking County,24.61,33.93,0.1,41.36,,,1.37
39091,Logan County,14.76,36.43,,48.81,,,2.08
39093,Lorain County,56.3,20.56,0.58,21.16,0.12,1.29,1.96
39095,Lucas County,51.79,14.39,2.68,28.78,1.01,1.34,1.90
39097,Madison County,18.73,33.61,,47.66,,,2.82
39099,Mahoning County,60.18,14.01,1.68,20.08,0.29,3.76,4.00
39101,Marion County,12.02,27.85,0.53,59.6,,,0.01
39103,Medina County,45.28,20.41,,34.02,,0.29,1.27
39105,Meigs County,4.49,54.82,,40.68,,,0.00
39107,Mercer County,73.04,7.2,,19.76,,,0.00
39109,Miami County,31.42,25.75,,42.82,,,1.34
39111,Monroe County,11.52,54.51,,33.97,,,0.00
39113,Montgomery County,38.47,30.66,2.14,28.21,0.39,0.12,1.36
39115,Morgan County,3.94,45.29,,50.77,,,1.38
39117,Morrow County,5.09,37.47,,57.44,,,2.84
39119,Muskingum County,15.89,23.28,0.3,60.54,,,1.90
39121,Noble County,35.25,33.02,,31.73,,,0.00
39123,Ottawa County,37.87,6.75,,55.38,,,0.03
39125,Paulding County,31.32,29.57,,39.11,,,0.02
39127,Perry County,29.93,14.17,,55.9,,,0.01
39129,Pickaway County,15.2,24.64,,59.69,,0.48,0.53
39131,Pike County,6.26,64.47,,29.27,,,0.04
39133,Portage County,54.5,16.47,,26.26,2.77,,0.98
39135,Preble County,15.81,43.93,,40.26,,,0.20
39137,Putnam County,76.65,9.95,,13.4,,,0.00
39139,Richland County,24.45,36.04,0.31,38.95,,0.24,1.51
39141,Ross County,15.59,37.84,0.27,46.3,,,1.63
39143,Sandusky County,40.84,13.57,,45.59,,,1.47
39145,Scioto County,16.58,50.4,0.24,32.78,,,1.37
39147,Seneca County,58.02,8.08,,33.9,,,0.02
39149,Shelby County,50.55,15.55,,33.9,,,1.20
39151,Stark County,39.63,26.17,0.77,30.15,0.31,2.97,3.34
39153,Summit County,48.35,23.6,1.59,24.39,0.08,1.99,2.69
39155,Trumbull County,51.61,17.38,0.7,28.73,,1.58,1.97
39157,Tuscarawas County,18.13,32.12,,49.75,,,0.58
39159,Union County,11.17,35.25,,53.57,,,1.61
39161,Van Wert County,20.84,24.55,,54.61,,,0.00
39163,Vinton County,8.85,43.87,,47.28,,,0.05
39165,Warren County,33.35,44.66,0.09,21.89,,,0.73
39167,Washington County,20.56,31.69,,47.76,,,1.59
39169,Wayne County,15.71,43.98,0.31,40,,,0.86
39171,Williams County,26.84,26.66,,46.5,,,0.01
39173,Wood County,38.96,13.36,,40.6,7.09,,1.45
39175,Wyandot County,36.19,10.75,,53.06,,,2.43
